,User,Date Created,Number of Likes,Source of Tweet,Tweet
202,bianca_peynado,2023-03-12 21:40:22+00:00,43,Twitter for iPhone,"So here’s that tweet where I talk about how the unexpected happened and I was impacted by the recent layoffs at Citi. 

While this was not the outcome I was anticipating, I’m taking it as an opportunity to explore new horizons and am excited to start a new chapter in my career ✨"
203,TwinSpires,2023-03-12 21:39:45+00:00,22,WSC Sports,"#3 Shotgun Hottie hits the wire first in R8 from @OaklawnRacing off the layoff for @reredevaux to pay $7.40. 

The #TwinSpiresReplay 🎥 https://t.co/B5IogRX0QM"
204,conormyhrvold,2023-03-12 21:38:51+00:00,1,Twitter Web App,"@keybrackson @zerohedge More generally, even if the sold bank assets are greater than total deposits... this is of little help for businesses who need to process payroll next week. So could lead to layoffs regardless of whether they ultimately get a complete recovery of their money. Timeliness an issue."
205,hamzah2k22,2023-03-12 21:38:31+00:00,4,Twitter for iPhone,@DagnyTaggart963 Fed will backstop it. A crooked system requires crooked fixes. Many are against bailouts but when you’re talking mass layoffs and company foreclosures due to unprecedented rate hikes some intervention is needed
206,VImaginings,2023-03-12 21:37:34+00:00,2,Twitter Web App,@brianbeauchemin @JigglyPants44 you need to layoff the #cbc... its worse than crack for your mind!
207,ltsfullofstars,2023-03-12 21:36:31+00:00,0,Twitter for iPhone,"Tech layoffs: Paypal, Google, Microsoft and more are cutting jobs - CBS News - How many laid off people dipped into their savings at SVB? Couldn’t the fed see this coming? Just weird  https://t.co/EahMI3wwO4"
208,BlondeTechCEO,2023-03-12 21:35:15+00:00,0,Twitter for iPhone,"More Layoffs: Silicon Valley Bank’s Israeli Branch is Closing | The Jewish Press - https://t.co/88ioOlPL2v | Hana Levi Julian | 20 Adar 5783 – March 12, 2023 | https://t.co/88ioOlPL2v https://t.co/d0xYyij4T8"
209,clobaremoney,2023-03-12 21:34:52+00:00,0,Twitter Web App,"They are now pushing for the government to step in and push another bank to buy out SVB's assets and obligations.

These companies, nearly 65,000 startups, are concerned they won't be able to process payroll this month, which could spark a wide wave of layoffs in  tech."
210,fckneighsayers,2023-03-12 21:34:44+00:00,0,Twitter for iPhone,"Place Parlay 
Santa Anita Race 5 - #8 Vantastic- back to sprinting and likes a little give in the turf, should run well 

Couple with Golden Gate race 5- #1 Tizona, off a lengthy layoff but shouldn’t have a problem at this level and Wong should have him ready 

GL!"
211,jb_mma,2023-03-12 21:33:28+00:00,1,Twitter for iPhone,"@JoeBiden Banks collapsing, record high inflation, massive layoffs, WW3 brewing… Please God this nightmare of an administration needs to be removed."
212,laksitamochtar,2023-03-12 21:31:33+00:00,0,Twitter for Android,Awas aja abis ini duit abis trus Layoff🤣
213,auntycosmo,2023-03-12 21:30:55+00:00,0,Twitter for Android,"Salesforce is having layoffs
https://t.co/5FXnbZcaGc"
214,JU4NMEND0Z4,2023-03-12 21:30:12+00:00,12,Publer.io,"We're facing a recession, a tech downturn, and layoffs everywhere.

So, it’s probably not the best time to jump into building a media company full-time. 

But I’m doing it anyway. 
 
 Why? Two words; New Media.

https://t.co/hyUqjoqHgQ https://t.co/9WXY5YeQVz"
215,FannieLou23,2023-03-12 21:30:00+00:00,0,Twitter for iPhone,"@POTUS The freaking country was shutdown. When the country opened the jobs came back. And, living wages are stagnant and the federal reserve raising interest to intentionally cause layoffs.  What you’re selling isn’t worth buying."
216,LETSgrowBrandon,2023-03-12 21:29:44+00:00,2,Twitter for Android,"@crabby_48 @ImMeme0 Leftists blame Trump, but it is not......

Woke risk assets
Foriegn investors
High risk start ups
Inflation
Economy imploding
Layoffs are rising
Risk off"
217,schwifty00,2023-03-12 21:28:43+00:00,58,Twitter for iPhone,@JoeBiden Really? Gonna ignore all the layoffs happening rn??
218,ArizonaNancy48,2023-03-12 21:27:42+00:00,0,Twitter Web App,@DrDigiPol @TeamPelosi Lots of layoffs.
219,SaysMemon,2023-03-12 21:27:35+00:00,1,Twitter for iPhone,"Be kind , be patient , we are all in this together! 

 #siliconvalleybank  #svb #shutdown #thread #layoffs #closure"
220,ArizonaNancy48,2023-03-12 21:26:47+00:00,0,Twitter Web App,"@Sky_Lee_1 @TeamPelosi People returning to work after the unconstitutional shut down are not new jobs. 

There's lots of layoffs but Biden neglects to mention that."
221,jerrysends69,2023-03-12 21:26:14+00:00,0,Twitter Web App,@PrincessBravato Bigger concern is our 401k &amp; the possibility of layoffs.
222,pbarr,2023-03-12 21:25:49+00:00,0,Twitter Web App,"@DavidSacks I get it, depositors of SVB might lose some money for no fault of their own, but what about everybody else who loses money for no fault of their own?

Every single theft, layoff, property loss and health care bill should be backstopped by the US Government, right?"
223,cadHRnews,2023-03-12 21:25:42+00:00,0,Twitter Web App,"New employee cuts at @Meta are to be announced shortly, they will likely hit non-engineering roles. Meta cut roughly 11,000 jobs, about 13% of the #workforce, last year. New #layoffs are expected to be similar in size.  https://t.co/NeerOHuL1B"
224,marclijour,2023-03-12 21:25:29+00:00,1,Twitter Web App,"@IlianaOV @arjunmahadevan Hopes up re. layoffs. Canada's position is still better than pre-pandemic, with +19% gain in employment in the digital economy, although things are obviously slowing down.

Check @ICTC_CTIC talent portal to see if that can help
https://t.co/9F239tJ0ba"
225,dbruce617,2023-03-12 21:22:34+00:00,0,Twitter Web App,"@billy196842 @__TEAM_USA The December figure is 1,239,000 higher than the February 2020 peak of employment before COVID-19 forced massive shutdowns and layoffs."
226,ViseElite,2023-03-12 21:21:19+00:00,0,elitevord,"Asian American creatives say disclosing their layoffs to their families can be complicated 
👇👇👇
https://t.co/YqQCdF5ZP0"
227,HardcoreCook92,2023-03-12 21:19:53+00:00,1,Twitter Web App,"@Zikimura @That2D @Win98Tech Woah, a takeover led to layoffs? That's insane, I have never heard of that in my life."
228,ShadowYokai_,2023-03-12 21:19:01+00:00,461,Twitter for Android,"This is ridiculous and entitled.
343 has had to make content for S3, S4, etc, deal with Bonnie Ross leaving, layoffs in the company, and focus on more important things like identifying and fixing QOL issues.

Stop demanding things like a child and have some damn patience"
229,CindiStruck,2023-03-12 21:18:30+00:00,0,Twitter for Android,@EpochTimes And HD is closing 50 more stores this year. More layoffs. It's called a recession HD.
230,napoleon21st,2023-03-12 21:13:48+00:00,2,Twitter for Android,"When the previous crisis hit, I had absolutely nothing

A layoff and I'd be on the street or back in my parents' house in the Balkans

It was much scarier"
231,flipkoin2,2023-03-12 21:13:26+00:00,1,Twitter Web App,"@steve_boots After a recent unnecessary tech layoff in order to drive down wages now startups are at risk to be gobbled and dismantled within a few months.
Bailouts were good for AIG and GM, startups are equally worthy to be protected. Bailouts were all reimbursed with interest."
232,ChetCarrier,2023-03-12 21:13:10+00:00,1,Twitter for iPhone,"@AlexPer51573831 France has more time off work for holidays, vacations, sick leave, and work hours in the EU than any other. American companies stop hiring EU citizens because layoffs and severance packages saved no money."
233,VLVarin,2023-03-12 21:12:59+00:00,1,Twitter for iPhone,"I’ve seen a lot of takes like this over the last few weeks related to tech, the layoffs, and now SVB. You do not need to compare every situation to the worst events in history in order to rustle up some sympathy. People are losing their jobs and life savings. Just be kind."
234,JonDArsen,2023-03-12 21:12:20+00:00,1,Twitter for Android,Layoffs and losing your job because the bank your companies money was in went under are two different things.
235,OtherSide_AM,2023-03-12 21:12:10+00:00,15,Twitter for iPhone,"- any major credit event
- the Fed’s resolve in raising rates
- current earnings recession
- acceleration in layoffs
- collapse in housing prices
- massive spike in auto/CC delinquencies 
- … among countless other current disaster!

These are the same accounts who…

2/"
236,TheJPScott,2023-03-12 21:11:58+00:00,3,Twitter for iPhone,"@RBReich Big corps are always looking for ways to save a buck, and a lot of times that comes via layoffs. If you tax them more, what do you think the response will be?"
237,Tom2750J,2023-03-12 21:10:47+00:00,11,Twitter for iPhone,And After the Massive Layoffs in the Tech Sector that will begin on Monday. It’s gonna get Ugly !!
238,kkeller,2023-03-12 21:09:51+00:00,1,Twitter Web App,"@gosuprime21 @unusual_whales It may seem that way.  This is different.  None of the tech startups are to blame for this situation.  This is on SVB, the Fed, regulators, and others.  Depositors should not have to shoulder the responsibility for this. We'll all be screwed but it's better than massive layoffs."
239,Edward85551058,2023-03-12 21:09:05+00:00,0,Twitter for Android,@RBReich Bs name one poor person that hired anyone. How will you plan to grow the economy when you do this go in to specifics. Thus the rich will invest less in company's. Good luck with this approach it won't work. Let the layoffs begin.
240,OlsiOnTheCob,2023-03-12 21:08:39+00:00,0,Twitter for iPhone,"@RoKnowz @PopularLiberal @GOP Taxing the corporations hurts the people? We saw how that works. 

Corporations got a tax break from Trump and you saw the layoffs that happened the past two years. You would think that money would go to hire more people, instead it goes to shareholders and they pay off workers"
241,lapsisbeeftech,2023-03-12 21:08:26+00:00,0,SocialChamp IO ,"Tech Layoffs Caused by Vain Over-Hiring for 'Fake Work', Argues Former PayPal... https://t.co/OwymXn5xvb"
242,CaseyMAGA,2023-03-12 21:07:32+00:00,1,Twitter Web App,"@LegendaryEnergy Tensions were high, and confirmation that he would implement tyrannical measures at some point would have validated the Left lies. He had to print to aid with all the layoffs and furloughs. 2/2"
243,heytherecolin,2023-03-12 21:06:52+00:00,0,Twitter Web App,"Trends in the bay move so fast. Last week companies were doing layoffs for ~the vibes~ and this week, they are demanding bailouts. 

I'm still trying to figure out how AI can improve search indexing."
244,aproposapropos,2023-03-12 21:06:17+00:00,1,Twitter Web App,@RepSwalwell unemployment benefits are a thing. workers will get through this like every other industry that suffers layoffs. no bailout. fix the regs.
245,Every6thDay,2023-03-12 21:05:53+00:00,1,Twitter for iPhone,"@Sky_Kalkman We all know they’ll be made while, do stock buybacks and layoff hundreds or thousands of people because that’s what always happens"
246,ABFreeAlberta,2023-03-12 21:05:50+00:00,7,Twitter for Android,"There is something very anomalous happening in US corporations over the last two months. Hundreds of companies all announcing layoffs at the exact same time is anomalous &amp; coordinated. Someone is trying to collapse the economy on purpose. WEF via banks &amp; Blackrock?

#ABFree https://t.co/fdcEytLvQg"
247,BradJKD,2023-03-12 21:05:08+00:00,1,Twitter Web App,"@CityNewsTO #FakeNews.
They had twice the normal amount of investments.
75% was in mortgages that defaulted with tech layoffs. The other 25% is long-term bonds that are losing significantly due to increased interest rates.

CityNews needs to hire people with intelligence, not diversity."
248,Doreennapolita2,2023-03-12 21:04:22+00:00,1,Twitter for iPhone,"EXACTLY!!!! They'll be more layoffs, less jobs, so the average person loses again Thanks Joke Biden!"
249,sailoratanchor,2023-03-12 21:04:01+00:00,2,Twitter for iPhone,"@JefferysSteven @CafInsider Hey there @JefferysSteven, last name is Germain, should be easy to find if you care. Just here to tell you and your ""vet"" friends to layoff the crack and call Vet Affair, they have tools for Vet with mental issues"
250,piyushsingh099,2023-03-12 21:04:00+00:00,5,Twitter Web App,"Sometimes I feel like I spend more time debugging my code than actually writing it.

#hireme #layoffs #techjokes #shitposting #frontendDev #webdevelopment #remotejobs #hiring 
#FrontEndDeveloper #frontenddev #reactjs #javascript #buildinpublic #devjokes"
251,felix19350,2023-03-12 21:00:55+00:00,6,Twitter for Android,"This is a very interesting thread on the SVB affair. This point is quite valid, especially given that the tech ecosystem displays herd behaviors (layoffs are another good example of this) 👇"
252,Nataya,2023-03-12 21:00:20+00:00,1,Twitter for Android,"@wwleslie Wine is definitely in order!!!

That announcement - I had to announce me own layoff at work and even though they gave me month I didn't set foot back in office.

There was no reason and I didn't want to hurt my program not answering questions 

To external contacts I disappeared"
253,StLouis_Inno,2023-03-12 21:00:14+00:00,0,True Anthem,"Unicorn startups hit with layoffs, an AI art robot, and more startup news you need to know in our latest National Beat.  https://t.co/DDCyQMImVX"
254,nodeskco,2023-03-12 21:00:00+00:00,0,Buffer,"Remote Work: Sunday Reads

⚡ The $2 Billion Question of Who You Are at Work
⚡ Can Five Generations Coexist In The Workplace?
⚡ Creating remote work rituals that stick
⚡ Remote work and mass layoffs are creating a 7-day workweek
https://t.co/t3724iXb24"
255,AdvDeveshVatta,2023-03-12 20:55:30+00:00,0,Twitter for Android,"One Adani vs Ecosystem

Silicon Valley Bank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy.

The petition, to save startups and hundreds of thousands of jobs, written by Garry Tan, CEO and President of Y Combinator has…"
256,HollyQuinn30248,2023-03-12 20:53:35+00:00,2,Twitter for Android,"Applications for U.S. jobless aid rise by the most in 5 months, layoffs stay historically low

https://t.co/VtHZnIiEjq"
257,Mikepeerson,2023-03-12 20:53:21+00:00,0,Twitter for Android,"So, if you lay off a shit ton of tech workers, and those tech workers make a run on their regional bank because of layoffs....why are we blaming the fed?

Seems like tech is once again over it's skis and a financial crisis. 

Stop idolozing technology."
258,billy196842,2023-03-12 20:53:01+00:00,3,Twitter for iPhone,@dbruce617 @__TEAM_USA Can’t count the ones returning from Covid layoffs as new jobs🙄
259,dclaryjr,2023-03-12 20:50:32+00:00,2,Twitter for iPhone,Hard to layoff that high heat!! https://t.co/LqGQu1EV8s
260,hellozeik,2023-03-12 20:50:12+00:00,29,Twitter for iPad,I’m at the stage of my life where the sadness of returning work computer equipment bc disability related layoff re finalizing that chapter is completely overshadowed by the excitement of more available desk space to better organize apt for accessibility
261,DMDannyAJr,2023-03-12 20:49:46+00:00,7,Twitter for Android,"Why is it that you and all your pedo Epstein island friends get bailouts from OUR tax money, but somehow you sit in your Caribbean island home and say student loan forgiveness is bad and that we need layoffs for the Almight Economy. 

You are beneath all forms of mercy or grace."
262,HaleshSingh,2023-03-12 20:48:24+00:00,1,Twitter for Android,"1

One Adani vs Ecosystem

Silicon Valley Bank collapse may lead to 1,00,000 layoffs, impact 10,000 startups: Y Combinator writes to US Treasury Secy.

The petition, to save startups and hundreds of thousands of jobs, written by Garry Tan, CEO and President of Y Combinator has"
263,sf_leilani,2023-03-12 20:48:21+00:00,0,Twitter for iPhone,@Scott_Wiener ⤵️ WHERE were you during the layoffs❓The state received layoff notices in 2022  did your OFFICE OFFER information on how to sign up for Welfare &amp; HOUSING support since last YEAR ⤵️ for the TECH community
264,DMDannyAJr,2023-03-12 20:48:18+00:00,7,Twitter for Android,"@LHSummers Why is it that you and all your pedo Epstein island friends get bailouts from OUR tax money, but somehow you sit in your Caribbean island home and say student loan forgiveness is bad and that we need layoffs for the Almight Economy. 

You are beneath all forms of mercy or grace."
265,JulieChangRE,2023-03-12 20:48:07+00:00,4,Twitter for iPhone,"@ErnieBrownII @TechDeals_16 @ByteSizedInvest  those of us who have been through multiple volatile periods, mass layoffs - many of us not only survived but some even thrived. I hope everyone can stay positive through these times"
266,AndyAsFvck,2023-03-12 20:47:29+00:00,0,Twitter for iPhone,"Been doing roughly a chapter / day during my layoff. (Around 3k words / chapter) Back to work tomorrow, at this pace I’m done within a week. It’s a goal lol 💪🤓"
267,GayoftheDead,2023-03-12 20:41:28+00:00,2,Twitter Web App,"@eggwards A tough one for me, admittedly bc Matt &amp; I could be directly affected by his job evaporating in 2 wks. (I  work for a tech co. as well, which could also disappear). &amp; bc those affected are disproportionately tech, finding jobs will be even harder after a year of industry layoffs"
268,Janettelainee,2023-03-12 20:41:28+00:00,0,Twitter for iPhone,@theJagmeetSingh I like how you edited out everything he said! 1% profit is not high. 0% would put them out of business or cause layoffs .Perhaps you should take a look in the mirror and get rid of the increased taxes and spending causing the inflation of cost of those goods.Kill the carbon tax
269,AMGLeverage,2023-03-12 20:41:10+00:00,0,Twitter Web App,"Soon the combined impact of $2 trillion student loan debt, epic housing collapse, stock market wipeout and mass layoffs will land on them like a ton of bricks."
270,noahlz,2023-03-12 20:40:56+00:00,0,Twitter for Android,"""all of a sudden vultures who cheered Twitter layoffs and built gig companies that exploit workers are now seemingly worried about ""Main Street,"" as if they're lining up for the Iowa caucus."" So good"
271,ACottage4Sale,2023-03-12 20:38:04+00:00,0,Twitter for iPhone,"@DavidSacks You were proudly bragging about Twitter layoffs on All-In, but now you’re concerned about the little guy not getting paid next week? I know hypocrisy is just your SOP but c’mon, I hope it’s hard for you to sleep."
272,Leannadana1,2023-03-12 20:37:19+00:00,1,Twitter Web App,@AdinOfCrimea @TwitterSafety Didn't they fire @TwitterSafety  in the first round of layoffs lol
273,texasrunnerDFW,2023-03-12 20:35:54+00:00,44,Twitter for iPhone,"@NewsLambert Their importance will begin to recede if/when fear sets into the economic landscape

I still observe a bit of post-pandemic exuberance amongst my peers in terms of vacations and spending—life is short, enjoy it!

Fear of layoffs and bank insecurity will quickly eradicate that"
274,kkeller,2023-03-12 20:34:25+00:00,0,Twitter Web App,"@unusual_whales I suspect the big question is in tech rather than financial services.  I hope it doesn't spread in banking, but if tech layoffs get worse, it could still get bad for the overall economy...and for America's global standing in tech."
275,heapevents,2023-03-12 20:30:58+00:00,0,heapevents.info,"Mass Layoffs Including Workers Pregnant ☝ 🙂 
 https://t.co/B4W8yMjrL0"
276,Raps7,2023-03-12 20:29:20+00:00,0,Twitter Web App,"in the last at Oldsmar with the lucky announcer @BeemieAwards ,  the Chad took all the early money but not bet as heavily in multi's

looking for the 6 off the layoff .... the Oliver horse ran 3rd to two horses that both came back to win stake races"
277,HousingTherapy,2023-03-12 20:28:29+00:00,0,Twitter for iPhone,"@GregHPoker Is the current situation in the northeast a product of pandemic layoffs / bad treatment of regular staff who decided to go west and never came back? There has to be more to it. Parx on Tuesdays is still crazy, why haven’t Big Staxx returned?"
278,617Butch,2023-03-12 20:27:03+00:00,1,Twitter for Android,@FitzyGFY Very happy he is not here. Very overrated... especially at this point in his career. Couldn't keep up with anyone in that Rams Super Bowl... just 4 tackles and 1 pass defended... now he is two years older. Great against mediocre talent but can't handle layoff talent.
279,lizjosullivan,2023-03-12 20:25:35+00:00,1,Twitter for iPhone,"The last year has been harder on startups than any in recent history, between valuations crashing, VCs pausing investment, layoffs limiting alternative job options, and all of the market volatility associated with international crisis. If SBV’s deposits aren’t made whole… /4"
280,NowMyNews,2023-03-12 20:25:01+00:00,0,Nowmy Tweets,"Google employees seek answers after layoffs hit veteran and recently promoted employees
https://t.co/ZNJ0rYAS0I

#BusinessNews https://t.co/FHJZsKcR9t"
281,michaelkacz27,2023-03-12 20:24:45+00:00,0,Twitter Web App,"@AlexJStumpf @ChrisHalicke @DKPghSports Yeah ask where's the offense??  This team desperately needs a new hitting coach and can't layoff off speed junk out of strike zone.  Only 4 hits all game, 16 games in, zero offense. Only ST I get that, but appears going to be worst or 2nd Worst in MLB in runs scored - Again"
282,PicksLabInkVIP,2023-03-12 20:23:23+00:00,3,Twitter for iPhone,@SUNSHINE179 @sasha342020 @MadeInTheUSANJ @DonaldJTrumpJr Does the smoke and mirrors crap of raising minimum wage “so you can make ends meat” count? You know the thing where if companies are forced to drastically raise wages they will just layoff/fire people or take jobs over seas that’s a great democratic policy 🥴
283,LookoutLanding,2023-03-12 20:23:10+00:00,83,Twitter Web App,"That's a double for Tom Murphy, who is having a really nice swing. Servais said today he's really happy with the adjustments Murphy made over his layoff to make some mechanical adjustments to cut down on his swing-and-miss."
284,proctorzt,2023-03-12 20:22:49+00:00,1,Twitter for iPhone,"@GJoisey @GRomePow What makes me worry is that we are going to make the “depositors” whole - meaning the CEO’s and execs will be reimbursed most, and then they are going to turn around and do a BUNCH of layoffs anyways"
285,markpenquino,2023-03-12 20:22:17+00:00,0,Twitter Web App,Little Tech layoffs everywhere. Debt ceiling not allowing new government treasuries. P.S. Saudi and Iran might be a huge signal.
286,MikeNakanishi1,2023-03-12 20:22:04+00:00,0,Twitter Web App,"Job cuts skyrocket across US – report — RT Business News
Layoffs jumped more than five times in February from a year earlier, an outplacement firm reports
 https://t.co/7ECA6aV5uq"
287,AnvithReddyN,2023-03-12 20:21:59+00:00,2,Twitter for Android,"With the SVB scenario running, most employees working with SVB financed startups will try to find a new job asap/lose job in case FDIC doesn't get through. Another huge wave(bigger than last?) of layoffs gonna hit, what a time to live in"
288,TELEXDesignCo,2023-03-12 20:21:01+00:00,0,Twitter Web App,"@madebygoogle Zombies or layoffs? Comment if you hate when corporations layoff employees, but have cash for dying platforms like Fitbit."
289,Lalgudiyan,2023-03-12 20:20:00+00:00,1,Twitter for Android,"#Meta plans #new_layoffs, could cut around 13% jobs again: Report.☺️☺️☺️ https://t.co/77meNnci42"
290,mrbencampbell82,2023-03-12 20:19:55+00:00,0,http://mrbencampbell.com,"Andrew Yang warns of 'mass layoffs,' calls for government intervention after Silicon Valley Bank collapse - https://t.co/QiwbaQIV0H"
291,dchawla1307,2023-03-12 20:18:51+00:00,2,Twitter Web App,"Google Q3 ‘22 Profit: $13,900,000,000
Google Layoffs: 12,000
Amazon Q3 ’22 Profit: $2,800,000,000
Amazon Layoffs: 18,000
Microsoft Q3 ’22 Profit: $15,500,000,000
Microsoft Layoffs: 10,000

40K people have been let go by 3 companies that made over $32B in profits in 3 months."
292,Brethberie,2023-03-12 20:17:28+00:00,1,Twitter for iPhone,@monitoringbias It would cost more to deal with the fallout of all those layoffs than it would to simply fund the bailout.
293,josyscript,2023-03-12 20:17:02+00:00,5,Twitter for iPhone,"Te falar, tive um pesadelo com layoff o tanto que o pessoal ta falando que a partir de segunda-feira vai rolar cabeças e pra completar a cereja do bolo meu dinheiro tinha ficado retido no banco kkkkkkk 🤡"
294,extremetechfund,2023-03-12 20:16:37+00:00,0,Twitter Web App,Chris Wood (Jefferies) - recession to kick in later due to shortage of blue collar labor. Companies hesitant to start layoffs. https://t.co/iylQ8rJFal
295,bossbaeby,2023-03-12 20:15:54+00:00,0,Twitter for Android,"@layoffs_ You don't have a picture of you in your gallery that's a gay shit, fix up"
296,mwilliamsuscg,2023-03-12 20:15:04+00:00,2,Twitter Web App,Billionaire Bill Ackman is predicting an economic meltdown if President Biden doesn't bail out Silicon Valley Bank by Monday which could result in tens of thousands of layoffs. #crypto
297,slightblu,2023-03-12 20:12:29+00:00,0,Twitter Web App,"@JamieLeeSounds @EssaHansen They try to put us in contact with some companies, but for audio it's tough this year. Companies are experiencing a lot of layoffs, + most of them will prefer to give mid to senior positions. I think that i ended up applying / sending my portfolio to 35 companies lol :/"
298,fbmarc,2023-03-12 20:12:03+00:00,0,Twitter Web App,"@iamveeve According to many reactions here - job losses (aka make payroll) is the #1 concern. Layoffs and bankruptcy are the predictable fate of most startups. As is their replacement. So unless you believe VC funding is permanently broken due to SVB, I don't see it as calamitous."
299,drnewbold,2023-03-12 20:12:00+00:00,0,Twitter for iPhone,Opinion: S.F.’s tech layoffs are less scary than you’ve been lead to believe - San Francisco Examiner https://t.co/rb9BVtv4CQ
300,ignaciomonje36,2023-03-12 20:10:01+00:00,1,Twitter Web App,"La próxima semana se viene #ChatGPT4.... así lo anunció el CTO de #Microsoft Alemania. Dijo, además, que la nueva versión agregará imágenes, videos y música...🤯¿Layoffs / súper oportunidades? Perspectiva. 

https://t.co/skVBBjq7A1"
301,moffetjames5,2023-03-12 20:09:59+00:00,0,Twitter for iPhone,"@OracleRedBulF1 @FreedomFirst1st @EliseStefanik The Union - PEF - is allied with the Democratic Party, and Cuomo is a Democrat.  We voted against the contract.  Then Cuomo threatened to layoff state workers and the contract passed in a second vote.  Then we voted out our union leadership, but it was too late: https://t.co/LtMe9fGRNt"
302,Michele92425865,2023-03-12 20:09:10+00:00,1,Twitter for iPhone,"@matts_182 @JeremyDBoreing @benshapiro They will have declining sales, layoffs and then shut down! Stupid to join the political arena! Looks like I will have a o order Jeremy’s Candy bars for this Halloween."
303,geekinchief,2023-03-12 20:08:57+00:00,0,Twitter Web App,@aravosis I agree with the principle but the reality is that regular people will lose their jobs because their companies won't make payroll or will make up the losses with layoffs.
304,troutgirl,2023-03-12 20:08:49+00:00,35,Twitter Web App,I guarantee you that LAYOFFS are the topic du jour on those Silicon Valley founder circle jerk chats.
305,JoeSullivan75,2023-03-12 20:08:38+00:00,0,Twitter for iPhone,"@zerohedge Hell, this plays right into Jerome’s hand. Not only the potential for big layoffs, but detrimental to the consumer so they will stop spending. That cools inflation quickly. Major pivot coming soon."
306,onedery,2023-03-12 20:08:28+00:00,2,Twitter Web App,"@grannycindy57 @djclimenhaga @FlukerShaun @RachelNotley @albertaNDP LOL. An increase of 2% is a cut? And unlike UCP, they did not try to cut wages and layoff"
307,addamere,2023-03-12 20:08:27+00:00,1,Twitter Web App,"@garrytan Yes but there's also unfortunately some bad news here: as usual when there's stuff that makes capital nervous, the average worker will experience greater incidence of cut hours, frozen pay, layoffs, and so on. Real people will suffer because of the dumb gambling that led us here."
308,Baker0x,2023-03-12 20:08:25+00:00,2,Twitter Web App,"@Mtrl_Scientist Domino effect. Vendors don't get paid, they have to layoff, etc."
309,peigin11,2023-03-12 20:07:02+00:00,0,Twitter for iPhone,@stillgray She cant run at 43? Maybe layoff the cigarettes.
310,Refereedom,2023-03-12 20:06:30+00:00,1,Twitter for Android,"@DeclanFinnBooks When 97% of the depositers i.e. startups and medium businesses, don't get their money back and the layoffs start to happen a cascade event will happen"
311,Mtrl_Scientist,2023-03-12 20:05:46+00:00,51,Twitter for Android,"The issue is not whether you get made whole or not, but how long it will take. If you have funds stuck in SVB, you worry about payrolls...

Layoffs &amp; bankruptcies are coming https://t.co/t6wz7peCOe"
312,Anonymous_TYOJP,2023-03-12 20:04:29+00:00,2,Twitter Web App,"#レイオフ
#layoff
#キャリアブレイクの成果
#キャリア　
#インサイドセールス　
#インサイドセールスのキャリアパス"
313,thebitofcoin,2023-03-12 20:03:17+00:00,4,TweetDeck Web App,"@WhiteHouse -Inflation at record highs and sticky
-homes unreachable by most 
-bank runs in the US
-layoffs everywhere

yep, you're doing great brandon"
314,RobertC12185671,2023-03-12 20:03:08+00:00,0,Twitter for iPhone,"100,000 off Californians are leaving anyway, this is worse than a layoff !   The California success story has been destroyed under Newsome.  They’re ripe to be annexed back to Mexico."
315,justin__fischer,2023-03-12 20:02:44+00:00,2,Twitter for iPhone,"SVB should fail - that’s what should happen when you do a crappy job running a business. And venture capitalists will be fine. Losing money is part of the game.

On the other hand, the one thing tech and game development don’t need is more layoffs."
316,ntomchik,2023-03-12 20:02:37+00:00,5,Twitter for iPhone,"I can’t wait for companies to cite their 1% cash in SVB accounts as a cause for their massive layoffs, so they can continue to earn record profits and steal wages. 🙃"
317,0x1942,2023-03-12 20:01:26+00:00,0,Twitter for iPhone,"Key Events This Week:

1. FDIC deposits at SVB available on Monday

2. Feb CPI inflation on Tuesday

3. Feb PPI inflation on Wednesday

4. Retail Sales on Wednesday

5. Jobless claims on Thursday

6. Mass tech layoffs expected due to SVB"
318,JamesGr64316860,2023-03-12 20:01:03+00:00,0,Twitter for iPhone,"@stillgray Relax chicken little, the sky’s not falling. Tech layoffs caused a specific sector run on a specific sector bank. It will picked up by one of the big three this week."
319,VeritasRG,2023-03-12 20:00:11+00:00,0,Publer.io,"A wave of layoffs in several industries has many trying to find jobs in a still market. David Sprinkle, managing partner with Veritas Recruiting, discusses the job market &amp; how to stand out amongst the competition.

Here are some things he mentions: 
- The https://t.co/RegO6t56gF"
320,c_cgottlieb,2023-03-12 20:00:07+00:00,1,Twitter for iPhone,Such tiresome crap. More layoffs might help. @PostGuild
321,latestlayoffs,2023-03-12 19:59:19+00:00,3,Twitter Web App,"Behold the stunning sun halo, a breathtaking natural phenomenon gracing our skies with its ethereal beauty. ☀️🌀 #SunHalo #NatureWonder"" #Oscars95 #halo https://t.co/AC7hsIwXzI"
322,laufamily1967,2023-03-12 19:58:05+00:00,0,Twitter for Android,"@POTUS The purple haired person writing this crap never took an economics class. Brandon finished at the bottom of his class.  The facts layoffs have begun ,interest rates up, and banks are falling. IT'S NOT WORKING! A normal educated  brain would have changed policies a long time ago !"
323,Shroglodyte,2023-03-12 19:57:24+00:00,2,Twitter for Android,"@ricwe123 I've spoken to a number of people from startups in the Seattle area that have communicated full shut down and layoffs.

Pharma is heavily involved in this too."
324,techstwo12,2023-03-12 19:57:21+00:00,0,Revive Social App,Woman Shares Database Showing Companies Planning Layoffs https://t.co/ktA4mZsbXc
